SOA,Program,Crop,Crop_2,Value,share,150
Inibidores da glutamina sintetase,PÓS-emergente,Soja,Soja (n=159),0,0,
Inibidores da HPPD,PÓS-emergente,Soja,Soja (n=159),0,0,
Inibidores da EPSPS,PÓS-emergente,Soja,Soja (n=159),93,62,
Inibidores da formação de microtubulos,PÓS-emergente,Soja,Soja (n=159),0,0,
Desvio de elétrons do FSI,PÓS-emergente,Soja,Soja (n=159),0,0,
Inibidores do FSII,PÓS-emergente,Soja,Soja (n=159),2,1,
Inibidores da PPO,PÓS-emergente,Soja,Soja (n=159),11,7,
Mimetizadores da auxina,PÓS-emergente,Soja,Soja (n=159),0,0,
Inibidores da AGCML,PÓS-emergente,Soja,Soja (n=159),0,0,
Inibidores da ALS ,Dessecante colheita,Soja,Soja (n=159),0,0,102
Inibidores da ACCase ,Dessecante colheita,Soja,Soja (n=159),0,0,
Inibidores da DOXP sintase,Dessecante colheita,Soja,Soja (n=159),0,0,
Inibidores da glutamina sintetase,Dessecante colheita,Soja,Soja (n=159),9,9,
Inibidores da HPPD,Dessecante colheita,Soja,Soja (n=159),0,0,
Inibidores da EPSPS,Dessecante colheita,Soja,Soja (n=159),0,0,
Inibidores da formação de microtubulos,Dessecante colheita,Soja,Soja (n=159),0,0,
Desvio de elétrons do FSI,Dessecante colheita,Soja,Soja (n=159),91,89,
Inibidores do FSII,Dessecante colheita,Soja,Soja (n=159),2,2,
Inibidores da PPO,Dessecante colheita,Soja,Soja (n=159),0,0,
Mimetizadores da auxina,Dessecante colheita,Soja,Soja (n=159),0,0,
Inibidores da AGCML,Dessecante colheita,Soja,Soja (n=159),0,0,
Inibidores da ALS ,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),8,5,162
Inibidores da ACCase ,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da DOXP sintase,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da glutamina sintetase,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da HPPD,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),8,5,
Inibidores da EPSPS,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),92,57,
Inibidores da formação de microtubulos,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Desvio de elétrons do FSI,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores do FSII,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),8,5,
Inibidores da PPO,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Mimetizadores da auxina,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),38,23,
Inibidores da AGCML,Dessecante pré plantio,Cana-de-açucar,Cana-de-açucar (n=31),8,5,
Inibidores da ALS ,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),18,9,190
Inibidores da ACCase ,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da DOXP sintase,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),27,14,
Inibidores da glutamina sintetase,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da HPPD,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da EPSPS,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),9,5,
Inibidores da formação de microtubulos,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Desvio de elétrons do FSI,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores do FSII,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),73,38,
Inibidores da PPO,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),45,24,
Mimetizadores da auxina,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da AGCML,PRÉ-emergente,Cana-de-açucar,Cana-de-açucar (n=31),18,9,
Inibidores da ALS ,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),10,6,161
